label,message,sentiment,predicted
spam,"If you don't, your prize will go to another customer. T&C at www.t-c.biz 18+ 150p/min Polo Ltd Suite 373 London W1J 6HL Please call back if busy",negative,positive
ham,No pic. Please re-send.,positive,neutral
spam,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906 ,negative,positive
ham,Ok then i'll let him noe later n ask him call u tmr...,positive,positive
ham,Did he just say somebody is named tampa,positive,neutral
ham,Ok lor thanx... Ü in school?,positive,positive
ham,Why de. You looking good only:-)..,positive,positive
ham,Send his number and give reply tomorrow morning for why you said that to him like that ok,positive,positive
ham,"Hello, my boytoy! I made it home and my constant thought is of you, my love. I hope your having a nice visit but I can't wait till you come home to me ...*kiss*",positive,positive
ham,You give us back my id proof and  &lt;#&gt;  rs. We wont allow you to work. We will come to your home within days,positive,neutral
ham,Ha... U jus ate honey ar? So sweet...,positive,positive
ham,Does she usually take fifteen fucking minutes to respond to a yes or no question,positive,negative
ham,Din i tell u jus now 420,positive,neutral
ham,I went to ur hon lab but no one is there.,positive,neutral
ham,"Good evening Sir, hope you are having a nice day. I wanted to bring it to your notice that I have been late in paying rent for the past few months and have had to pay a $ &lt;#&gt;  charge. I felt it would be inconsiderate of me to nag about something you give at great cost to yourself and that's why i didnt speak up. I however am in a recession and wont be able to pay the charge this month hence my askin well ahead of month's end. Can you please help. Thank you for everything.",positive,positive
ham,Que pases un buen tiempo or something like that,positive,neutral
ham,We are supposed to meet to discuss abt our trip... Thought xuhui told you? In the afternoon. Thought we can go for lesson after that,positive,neutral
ham,"I.ll always be there, even if its just in spirit. I.ll get a bb soon. Just trying to be sure i need it.",positive,positive
ham,Hi Dear Call me its urgnt. I don't know whats your problem. You don't want to work or if you have any other problem at least tell me. Wating for your reply.,positive,negative
ham,I am literally in bed and have been up for like  &lt;#&gt;  hours,positive,neutral
ham,Hey i booked the kb on sat already... what other lessons are we going for ah? Keep your sat night free we need to meet and confirm our lodging ,positive,positive
ham,"Just got part Nottingham - 3 hrs 63miles. Good thing i love my man so much, but only doing 40mph. Hey ho",positive,positive
ham,Eat jap done oso aft ur lect wat... Ü got lect at 12 rite... ,positive,neutral
spam,IMPORTANT MESSAGE. This is a final contact attempt. You have important messages waiting out our customer claims dept. Expires 13/4/04. Call 08717507382 NOW!,negative,positive
ham,"Sure, whenever you show the fuck up &gt;:(",positive,negative
ham,Ya srsly better than yi tho,positive,positive
ham,No da. . Vijay going to talk in jaya tv,positive,neutral
ham,"I'll see if I can swing by in a bit, got some things to take care of here firsg",positive,neutral
ham,C movie is juz last minute decision mah. Juz watch 2 lar but i tot ü not interested.,positive,negative
ham,No da:)he is stupid da..always sending like this:)don believe any of those message.pandy is a mental:),positive,negative
ham,No problem baby. Is this is a good time to talk? I called and left a message.,positive,positive
ham,Saw Guys and Dolls last night with Patrick Swayze it was great,positive,positive
ham,Prepare to be pounded every night...,positive,neutral
ham,I'm turning off my phone. My moms telling everyone I have cancer. And my sister won't stop calling. It hurts to talk. Can't put up with it. See u when u get home. Love u,positive,positive
spam,Do you want a new Video handset? 750 any time any network mins? UNLIMITED TEXT? Camcorder? Reply or Call now 08000930705 for del Sat AM,negative,positive
ham,This message is from a great Doctor in India:-): 1) Do not drink APPY FIZZ. It contains Cancer causing age,positive,positive
spam,YOU HAVE WON! As a valued Vodafone customer our computer has picked YOU to win a £150 prize. To collect is easy. Just call 09061743386,negative,positive
ham,"Frnd s not juz a word.....not merely a relationship.....its a silent promise which says ... "" I will be with YOU "" Wherevr.. Whenevr.. Forevr... Gudnyt dear..",positive,negative
ham,Hey u still at the gym?,positive,neutral
ham,Dont worry. I guess he's busy.,positive,positive
ham,Was it something u ate?,positive,neutral
ham,* Was thinking about chuckin ur red green n black trainners 2 save carryin them bac on train,positive,negative
ham,Getting tickets 4 walsall tue 6 th march. My mate is getting me them on sat. ill pay my treat. Want 2 go. Txt bak .Terry,positive,negative
ham,"Good afternon, my love. How are today? I hope your good and maybe have some interviews. I wake and miss you babe. A passionate kiss from across the sea",positive,positive
ham,Everybody had fun this evening. Miss you.,positive,positive
ham,Of cos can lar i'm not so ba dao ok... 1 pm lor... Y u never ask where we go ah... I said u would ask on fri but he said u will ask today...,positive,positive
ham,Ok...,positive,positive
ham,He remains a bro amongst bros,positive,neutral
spam,Hello. We need some posh birds and chaps to user trial prods for champneys. Can i put you down? I need your address and dob asap. Ta r,negative,negative
ham,"It's cool, we can last a little while. Getting more any time soon?",positive,positive
ham,I'm now but have to wait till 2 for the bus to pick me.,positive,neutral
spam,You are awarded a SiPix Digital Camera! call 09061221061 from landline. Delivery within 28days. T Cs Box177. M221BP. 2yr warranty. 150ppm. 16 . p p£3.99,negative,neutral
ham,What is important is that you prevent dehydration by giving her enough fluids,positive,positive
ham,"Poyyarikatur,kolathupalayam,unjalur post,erode dis, &lt;#&gt; .",positive,neutral
ham,Still work going on:)it is very small house.,positive,negative
spam,"We know someone who you know that fancies you. Call 09058097218 to find out who. POBox 6, LS15HB 150p",negative,neutral
ham,"Sir, i am waiting for your call.",positive,neutral
ham,I will treasure every moment we spend together...,positive,neutral
ham,"Sounds good, keep me posted",positive,positive
ham,"8 at the latest, g's still there if you can scrounge up some ammo and want to give the new ak a try",positive,positive
ham,But i dint slept in afternoon.,positive,neutral
ham,Are you coming to day for class.,positive,neutral
ham,I've been barred from all B and Q stores for life!?This twat in orange dungerees came up to me and asked if I wanted decking? So I got the first punch in!!,positive,positive
spam,Todays Voda numbers ending 1225 are selected to receive a £50award. If you have a match please call 08712300220 quoting claim code 3100 standard rates app ,negative,neutral
ham,I dont understand your message.,positive,neutral
ham,Waiting for your call.,positive,neutral
ham,Designation is software developer and may be she get chennai:),positive,positive
ham,No rushing. I'm not working. I'm in school so if we rush we go hungry.,positive,neutral
ham,Hi! This is Roger from CL. How are you?,positive,neutral
spam,Do you want a New Nokia 3510i Colour Phone Delivered Tomorrow? With 200 FREE minutes to any mobile + 100 FREE text + FREE camcorder Reply or Call 08000930705,negative,positive
ham,Glad to see your reply.,positive,positive
ham,Give one miss from that number please,positive,neutral
ham,Die... Now i have e toot fringe again...,positive,neutral
ham,How much you got for cleaning,positive,positive
ham,"House-Maid is the murderer, coz the man was murdered on  &lt;#&gt; th January.. As public holiday all govt.instituitions are closed,including post office..understand?",positive,neutral
ham,Anything lor if they all go then i go lor...,positive,neutral
ham,"Good afternoon, my love. It was good to see your words on YM and get your tm. Very smart move, my slave ... *smiles* ... I drink my coffee and await you.",positive,positive
ham,"Sorry, my battery died, I can come by but I'm only getting a gram for now, where's your place?",positive,negative
spam,"You are a £1000 winner or Guaranteed Caller Prize, this is our Final attempt to contact you! To Claim Call 09071517866 Now! 150ppmPOBox10183BhamB64XE",negative,neutral
ham,I'll let you know when it kicks in,positive,neutral
